::1 - - [25/Mar/2018:18:26:23 +0000] "POST /Accounts/SignUp HTTP/1.1" 401 51 "-" "PostmanRuntime/7.1.1"
::1 - - [25/Mar/2018:18:26:51 +0000] "POST /Accounts/SignUp HTTP/1.1" 401 240 "-" "PostmanRuntime/7.1.1"
::1 - - [25/Mar/2018:18:27:25 +0000] "POST /Accounts/SignUp HTTP/1.1" 401 75 "-" "PostmanRuntime/7.1.1"
::1 - - [25/Mar/2018:18:27:31 +0000] "POST /Accounts/SignUp HTTP/1.1" 401 75 "-" "PostmanRuntime/7.1.1"
::1 - - [25/Mar/2018:18:27:48 +0000] "POST /Accounts/SignUp HTTP/1.1" 401 75 "-" "PostmanRuntime/7.1.1"
::1 - - [25/Mar/2018:18:28:26 +0000] "POST /Accounts/SignUp HTTP/1.1" 401 75 "-" "PostmanRuntime/7.1.1"
::1 - - [25/Mar/2018:18:29:24 +0000] "POST /Accounts/SignUp HTTP/1.1" 401 75 "-" "PostmanRuntime/7.1.1"
::1 - - [25/Mar/2018:18:30:39 +0000] "POST /Accounts/SignUp HTTP/1.1" 401 75 "-" "PostmanRuntime/7.1.1"
::1 - - [25/Mar/2018:18:34:46 +0000] "POST /Accounts/SignUp HTTP/1.1" 500 86 "-" "PostmanRuntime/7.1.1"
::1 - - [25/Mar/2018:18:35:12 +0000] "POST /Accounts/SignUp HTTP/1.1" 401 75 "-" "PostmanRuntime/7.1.1"
::1 - - [25/Mar/2018:18:39:05 +0000] "POST /Accounts/SignUp HTTP/1.1" 401 75 "-" "PostmanRuntime/7.1.1"
::1 - - [25/Mar/2018:18:40:50 +0000] "POST /Accounts/SignUp HTTP/1.1" - - "-" "PostmanRuntime/7.1.1"
::1 - - [25/Mar/2018:18:42:14 +0000] "POST /Accounts/SignUp HTTP/1.1" - - "-" "PostmanRuntime/7.1.1"
::1 - - [25/Mar/2018:18:42:55 +0000] "POST /Accounts/SignUp HTTP/1.1" - - "-" "PostmanRuntime/7.1.1"
::1 - - [25/Mar/2018:18:43:55 +0000] "POST /Accounts/SignUp HTTP/1.1" - - "-" "PostmanRuntime/7.1.1"
::1 - - [25/Mar/2018:18:45:34 +0000] "POST /Accounts/SignUp HTTP/1.1" 401 305 "-" "PostmanRuntime/7.1.1"
::1 - - [25/Mar/2018:18:46:29 +0000] "POST /Accounts/SignUp HTTP/1.1" 401 217 "-" "PostmanRuntime/7.1.1"
::1 - - [25/Mar/2018:18:48:05 +0000] "POST /Accounts/SignUp HTTP/1.1" 200 40 "-" "PostmanRuntime/7.1.1"
::1 - - [16/Mar/2018:02:04:43 +0000] "GET /Admins/fetchuser HTTP/1.1" 500 1973 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36"
::1 - - [16/Mar/2018:02:04:43 +0000] "GET /favicon.ico HTTP/1.1" 404 150 "http://localhost:8000/Admins/fetchuser" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.186 Safari/537.36"
